date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
,,,,,,,,,,,
2026-09-05T21:29:12.760521,penny,victory,609,5,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:32:40.679385,penny,victory,614,12,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:34:11.843391,penny,defeat,626,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:35:04.362432,penny,defeat,623,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:36:35.063980,penny,defeat,620,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:37:49.388719,penny,defeat,617,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:39:36.692356,penny,draw,614,1,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:41:17.849277,penny,victory,615,5,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:43:46.976076,penny,draw,620,1,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:45:36.979823,penny,draw,621,1,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:47:21.105312,penny,victory,622,12,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:50:54.070859,penny,victory,634,7,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:54:02.083507,penny,draw,641,1,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T21:59:50.469211,penny,victory,642,8,4,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:03:48.402586,penny,victory,650,9,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:05:30.895212,penny,draw,659,1,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:06:51.229101,penny,defeat,660,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:09:30.043285,penny,victory,657,11,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:11:25.771599,penny,draw,668,1,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:12:30.733945,penny,draw,669,1,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:14:02.930601,penny,victory,670,12,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:29:09.791651,penny,defeat,682,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:29:59.327040,penny,defeat,679,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:31:33.022088,penny,draw,676,1,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:33:59.237226,penny,victory,677,11,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:35:37.379092,penny,draw,688,1,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:36:39.647996,penny,defeat,689,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:38:12.386423,penny,draw,686,1,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:39:42.682087,penny,victory,687,11,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:41:11.978990,penny,defeat,698,-3,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:42:42.426218,penny,draw,695,1,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:44:18.541533,penny,victory,696,11,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:45:56.808789,poco,victory,472,11,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:47:31.909827,poco,victory,483,6,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:49:34.322425,poco,victory,489,7,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:50:56.833695,poco,draw,496,2,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:52:19.412889,poco,draw,498,2,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:54:12.270049,poco,victory,500,14,4,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:55:17.247995,poco,draw,514,1,4,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:57:55.021391,poco,victory,515,15,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T22:59:50.869773,poco,draw,530,1,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-05T23:01:46.962818,poco,draw,531,1,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
